taylor2                   Session
Mon Jul 08 12:14:16 2013  Created
11 11 1 4                 Nr, Ns, Nz, Elements
20                        Step
0.4                       Time
0.02                      Time step
0.01                      Kinvis
1                         Beta
uvp                       Fields written
ASCII                     Format
 1.989064922e-15  3.596262575e-15  -0.004570994584 
-1.028018798e-06   -0.09562927785 -1.642608297e-15 
-3.557108206e-07    -0.3068936324    0.04251842025 
-2.455569987e-06    -0.5831609120     0.1654553021 
-1.993277246e-06    -0.8261484489     0.3366687536 
 1.541798620e-15    -0.9240894345     0.4223724184 
 1.993277244e-06    -0.8261484489     0.3366687536 
 2.455569988e-06    -0.5831609120     0.1654553021 
 3.557108182e-07    -0.3068936324    0.04251842025 
 1.028018801e-06   -0.09562927785  3.055405314e-15 
 1.625518178e-15 -2.006399387e-15  -0.004570994584 
   0.09562927785 -1.028018803e-06 -2.993456669e-15 
   0.09511540320   -0.09511630197   0.004571038422 
   0.09020233297    -0.3052471362    0.04708918053 
   0.07418292594    -0.5800301424     0.1700269002 
   0.04284729271    -0.8217128895     0.3412402132 
 1.770779078e-15    -0.9191267263     0.4269446290 
  -0.04284729271    -0.8217128895     0.3412402132 
  -0.07418292594    -0.5800301424     0.1700269002 
  -0.09020233297    -0.3052471362    0.04708918053 
  -0.09511540320   -0.09511630197   0.004571038422 
  -0.09562927785 -1.028018802e-06  3.995051959e-15 
    0.3068936324 -3.557108201e-07    0.04251842025 
    0.3052452893   -0.09019926814    0.04708998454 
    0.2894740775    -0.2894757873    0.08960726510 
    0.2380655649    -0.5500621470     0.2125449414 
    0.1375016312    -0.7792598396     0.3837546483 
 1.184958608e-15    -0.8716401003     0.4694586267 
   -0.1375016312    -0.7792598396     0.3837546483 
   -0.2380655649    -0.5500621470     0.2125449414 
   -0.2894740775    -0.2894757873    0.08960726510 
   -0.3052452893   -0.09019926814    0.04708998454 
   -0.3068936324 -3.557108225e-07    0.04251842025 
    0.5831609120 -2.455569985e-06     0.1654553021 
    0.5800307246   -0.07418024516     0.1700265666 
    0.5500640037    -0.2380690772     0.2125435078 
    0.4523772835    -0.4523752563     0.3354843281 
    0.2612819937    -0.6408673762     0.5066965354 
 2.590036686e-15    -0.7168410449     0.5924038066 
   -0.2612819937    -0.6408673762     0.5066965354 
   -0.4523772835    -0.4523752563     0.3354843281 
   -0.5500640037    -0.2380690772     0.2125435078 
   -0.5800307246   -0.07418024516     0.1700265666 
   -0.5831609120 -2.455569985e-06     0.1654553021 
    0.8261484489 -1.993277247e-06     0.3366687536 
    0.8217129473   -0.04284376335     0.3412398011 
    0.7792571170    -0.1375027603     0.3837569322 
    0.6408641677    -0.2612797488     0.5066962230 
    0.3701469900    -0.3701508292     0.6779013874 
 4.389166386e-15    -0.4140347126     0.7636073015 
   -0.3701469900    -0.3701508292     0.6779013874 
   -0.6408641677    -0.2612797488     0.5066962230 
   -0.7792571170    -0.1375027603     0.3837569322 
   -0.8217129473   -0.04284376335     0.3412398011 
   -0.8261484489 -1.993277246e-06     0.3366687536 
    0.9240894345  7.103695640e-16     0.4223724184 
    0.9191288620 -2.974530946e-16     0.4269422868 
    0.8716422153 -3.000240863e-15     0.4694586940 
    0.7168468439 -5.820014734e-15     0.5924003550 
    0.4140376536 -2.254403042e-15     0.7636118273 
-3.613268842e-16  5.560296963e-16     0.8493246586 
   -0.4140376536  2.517056774e-15     0.7636118273 
   -0.7168468439 -2.885085509e-16     0.5924003550 
   -0.8716422153  2.542040973e-15     0.4694586940 
   -0.9191288620  5.139839198e-15     0.4269422868 
   -0.9240894345  2.261165381e-15     0.4223724184 
    0.8261484489  1.993277248e-06     0.3366687536 
    0.8217129473    0.04284376335     0.3412398011 
    0.7792571170     0.1375027603     0.3837569322 
    0.6408641677     0.2612797488     0.5066962230 
    0.3701469900     0.3701508292     0.6779013874 
-1.391994794e-15     0.4140347126     0.7636073015 
   -0.3701469900     0.3701508292     0.6779013874 
   -0.6408641677     0.2612797488     0.5066962230 
   -0.7792571170     0.1375027603     0.3837569322 
   -0.8217129473    0.04284376335     0.3412398011 
   -0.8261484489  1.993277244e-06     0.3366687536 
    0.5831609120  2.455569984e-06     0.1654553021 
    0.5800307246    0.07418024516     0.1700265666 
    0.5500640037     0.2380690772     0.2125435078 
    0.4523772835     0.4523752563     0.3354843281 
    0.2612819937     0.6408673762     0.5066965354 
 5.652672742e-16     0.7168410449     0.5924038066 
   -0.2612819937     0.6408673762     0.5066965354 
   -0.4523772835     0.4523752563     0.3354843281 
   -0.5500640037     0.2380690772     0.2125435078 
   -0.5800307246    0.07418024516     0.1700265666 
   -0.5831609120  2.455569989e-06     0.1654553021 
    0.3068936324  3.557108272e-07    0.04251842025 
    0.3052452893    0.09019926814    0.04708998454 
    0.2894740775     0.2894757873    0.08960726510 
    0.2380655649     0.5500621470     0.2125449414 
    0.1375016312     0.7792598396     0.3837546483 
-1.412968698e-15     0.8716401003     0.4694586267 
   -0.1375016312     0.7792598396     0.3837546483 
   -0.2380655649     0.5500621470     0.2125449414 
   -0.2894740775     0.2894757873    0.08960726510 
   -0.3052452893    0.09019926814    0.04708998454 
   -0.3068936324  3.557108259e-07    0.04251842025 
   0.09562927785  1.028018820e-06 -6.870048371e-15 
   0.09511540320    0.09511630197   0.004571038422 
   0.09020233297     0.3052471362    0.04708918053 
   0.07418292594     0.5800301424     0.1700269002 
   0.04284729271     0.8217128895     0.3412402132 
-1.711812466e-15     0.9191267263     0.4269446290 
  -0.04284729271     0.8217128895     0.3412402132 
  -0.07418292594     0.5800301424     0.1700269002 
  -0.09020233297     0.3052471362    0.04708918053 
  -0.09511540320    0.09511630197   0.004571038422 
  -0.09562927785  1.028018812e-06  3.321652706e-15 
-3.198274673e-16  2.085557464e-15  -0.004570994584 
-1.028018807e-06    0.09562927785 -4.770937384e-15 
-3.557108184e-07     0.3068936324    0.04251842025 
-2.455569984e-06     0.5831609120     0.1654553021 
-1.993277248e-06     0.8261484489     0.3366687536 
-1.619303557e-15     0.9240894345     0.4223724184 
 1.993277247e-06     0.8261484489     0.3366687536 
 2.455569983e-06     0.5831609120     0.1654553021 
 3.557108222e-07     0.3068936324    0.04251842025 
 1.028018815e-06    0.09562927785 -8.582497104e-16 
 4.814311272e-15  4.475763783e-15  -0.004570994584 
 1.625518178e-15 -2.006399387e-15  -0.004570994584 
-1.028018806e-06    0.09562927785 -8.746254555e-16 
-3.557108194e-07     0.3068936324    0.04251842025 
-2.455569985e-06     0.5831609120     0.1654553021 
-1.993277248e-06     0.8261484489     0.3366687536 
-1.697856900e-15     0.9240894345     0.4223724184 
 1.993277246e-06     0.8261484489     0.3366687536 
 2.455569985e-06     0.5831609120     0.1654553021 
 3.557108249e-07     0.3068936324    0.04251842025 
 1.028018819e-06    0.09562927785 -7.062604039e-15 
 1.989064922e-15  3.596262575e-15  -0.004570994584 
  -0.09562927785 -1.028018802e-06  3.995051959e-15 
  -0.09511630197    0.09511540320   0.004571038422 
  -0.09019926814     0.3052452893    0.04708998454 
  -0.07418024516     0.5800307246     0.1700265666 
  -0.04284376335     0.8217129473     0.3412398011 
-2.319779582e-15     0.9191288620     0.4269422868 
   0.04284376335     0.8217129473     0.3412398011 
   0.07418024516     0.5800307246     0.1700265666 
   0.09019926814     0.3052452893    0.04708998454 
   0.09511630197    0.09511540320   0.004571038422 
   0.09562927785 -1.028018803e-06 -2.993456669e-15 
   -0.3068936324 -3.557108225e-07    0.04251842025 
   -0.3052471362    0.09020233297    0.04708918053 
   -0.2894757873     0.2894740775    0.08960726510 
   -0.2380690772     0.5500640037     0.2125435078 
   -0.1375027603     0.7792571170     0.3837569322 
-4.648534543e-15     0.8716422153     0.4694586940 
    0.1375027603     0.7792571170     0.3837569322 
    0.2380690772     0.5500640037     0.2125435078 
    0.2894757873     0.2894740775    0.08960726510 
    0.3052471362    0.09020233297    0.04708918053 
    0.3068936324 -3.557108201e-07    0.04251842025 
   -0.5831609120 -2.455569985e-06     0.1654553021 
   -0.5800301424    0.07418292594     0.1700269002 
   -0.5500621470     0.2380655649     0.2125449414 
   -0.4523752563     0.4523772835     0.3354843281 
   -0.2612797488     0.6408641677     0.5066962230 
-7.121535683e-15     0.7168468439     0.5924003550 
    0.2612797488     0.6408641677     0.5066962230 
    0.4523752563     0.4523772835     0.3354843281 
    0.5500621470     0.2380655649     0.2125449414 
    0.5800301424    0.07418292594     0.1700269002 
    0.5831609120 -2.455569985e-06     0.1654553021 
